pid,gtin,gln,targetMarketCountryCode,isDeleted,last_modified_date
11429,00018627451808,0064100000018,CA,0         ,2014-02-28 16:51:21.9270000
11430,00018627478867,0064100000018,CA,0         ,2014-02-28 16:51:21.9930000
11433,00018627504900,0064100000018,CA,0         ,2014-02-28 16:51:22.2130000
11434,00018627556138,0064100000018,CA,0         ,2014-02-28 16:51:22.2870000
11435,00018627575795,0064100000018,CA,0         ,2014-02-28 16:51:22.3630000
11436,00018627575832,0064100000018,CA,0         ,2014-02-28 16:51:22.4730000
11439,00018627575856,0064100000018,CA,0         ,2014-02-28 16:51:22.6970000
11440,00018627575870,0064100000018,CA,0         ,2014-02-28 16:51:22.7670000
11443,00018627597537,0064100000018,CA,0         ,2014-02-28 16:51:22.9900000
11444,00018627597551,0064100000018,CA,0         ,2014-02-28 16:51:23.0600000
11475,00018627597575,0064100000018,CA,0         ,2014-02-28 16:51:25.0900000
11476,00018627597612,0064100000018,CA,0         ,2014-02-28 16:51:25.1800000
11431,00018627597636,0064100000018,CA,0         ,2014-02-28 16:51:22.0670000
11432,00018627597667,0064100000018,CA,0         ,2014-02-28 16:51:22.1400000
11437,00018627597681,0064100000018,CA,0         ,2014-02-28 16:51:22.5430000
11438,00018627597711,0064100000018,CA,0         ,2014-02-28 16:51:22.6200000
11441,00018627732358,0064100000018,CA,0         ,2014-02-28 16:51:22.8370000
11442,00018627772439,0064100000018,CA,0         ,2014-02-28 16:51:22.9300000
31348,00020169224338,0874094000013,CA,0         ,2014-02-28 18:11:10.7770000
31349,00020169224352,0874094000013,CA,0         ,2014-02-28 18:11:10.8570000
31350,00020169224369,0874094000013,CA,0         ,2014-02-28 18:11:10.9300000
31351,00020169224376,0874094000013,CA,0         ,2014-02-28 18:11:11.0030000
31352,00020169224512,0874094000013,CA,0         ,2014-02-28 18:11:11.0900000
12663,00020662000019,0020662000019,CA,0         ,2014-02-28 16:55:58.6130000
12664,00020662000026,0020662000019,CA,0         ,2014-02-28 16:55:58.6730000
12665,00020662000057,0020662000019,CA,0         ,2014-02-28 16:55:58.7300000
12666,00020662000361,0020662000019,CA,0         ,2014-02-28 16:55:58.7830000
12667,00020662000378,0020662000019,CA,0         ,2014-02-28 16:55:58.8370000
12668,00020662002129,0020662000019,CA,0         ,2014-02-28 16:55:58.8900000
